spotify_id	artist	spotify_artist	title	release_date
1QlW8jmei8HgE3C4h3TPhH	Abdullah Ibrahim	Various Artists	Water From An Ancient Well	1985
5Y650Yc7RO8DhNiC6QvkFa	AC/DC	Blaas of Glory	Highway to Hell	1979
76VDwh1H6aDqirqL4y1ABx	AC/DC	Back In Black	Back in Black	1980
0mrP9dZLtrJtUEBuhGgVRF	Ali Farka Toure with Ry Cooder	Ali Farka Tour_,Ry Cooder	Talking Timbuktu	1994
6GJl4impgRmt2MY5CY5BbW	Alice in Chains	The Heavy	Dirt	1992
4tHNFM2544qzsLlfWJ7yWD	American Music Club	Train	California	1988
5utgKVQyZ7cvQ22Ib2tBLZ	Big Black	ReaniMashup	Atomizer	1986
6xFhjElnJUHCN3Jgg1av7y	Big Star	Various Artists	No.1 Record	1972
6al4VUZHO90Zmw0fm4vVeI	Black Sabbath	Glee Cast	Volume 4	1972
07mJ8UjL2BzPTDBE4r0LmK	Blood, Sweat And Tears	Various Artists	Blood, Sweat And Tears	1969
5kZ3kjWkOnp1JU4MWbmNnI	Bobbie Womack	George The Poet	The Poet	1981
6qnZYnfKaKYbyrCMVVJcCs	Bonnie 'Prince' Billy	Der Nino aus Wien	I See A Darkness	1998
0DFhGsFKG7G58cke33GlAh	Captain Beefheart and His Magic Band	Captain Beefheart & His Magic Band	Safe As Milk	1967
7B4YTqHBVIiNv9o0hGVMbg	Coldcut	The Good Luck Joes	What's That Noise?	1989
1PdqT2EZfFkWTsN18x1SZk	Country Joe And The Fish	Country Joe & The Fish	Electric Music For The Mind And Body	1967
4lyIaiFwruh2OrQ6NOfTXP	Cowboy Junkies	Lanny Cordola	The Trinity Sessions	1988
3eyyjfmfVM0N8Yhvaigx1h	Curtis Mayfield	Bobby Williams	Superfly	1972
7ySlTeFwxaZHwzQElXg7hs	David Ackles	The Smashing Pumpkins	American Gothic	1972
5g59vOseYK3cI40RvTRG9v	Def Leppard	Dj Kot	Pyromania	1983
4dhhUft83smhz1wOtCbDi4	Dion	T.C. and Jordan	Born to be With You	1975
3OXebYlOAN3lKCCnSqGfgT	Dr Dre	The Chronic	The Chronic	1993
3Mqfc88llbmxwP6wunfMbW	Echo & The Bunnymen	Porcupine Tree	Porcupine	1983
3GwfdWanQsinzmOy0DNgr1	Einsturzende	Silver Mt Zion	Kollaps	1981
3YhDDt3zXIlzH5jVjP8Qo0	Ella Fitzgerald	Oscar Peterson	George Gershwin Songbook	1959
6JYmEWuML40SulUwHGxupV	Emmylou Harris, Lisa Rondstadt, Dolly Parton	Alkaline Trio	Trio	1987
4vG8HRbNiijPyQyRIigWba	Everything But the Girl	Idlewild	Idlewild	1988
3JKAjWc4Np8JZz1UAGu6HM	Frank Zappa and the Mothers of Invention	Victorious Cast	Freak Out!	1966
3Wqa5okQnEdBdDufivaagT	Funkadelic	The Clinton Administration	One Nation Under A Groove	1978
6K6iycuUPM1HT5sxnwp6Ek	G Love & Special Sauce	G. Love & Special Sauce	G Love & Special Sauce	1994
7cxEG6LAJowFK681Hg6QY6	Genesis	Karaoke Universe	The Lamb Lies Down On Broadway	1974
07iExA8pPReAFXXIIthVsE	Genius/GZA	GZA	Liquid Swords	1995
1gj5a71BBvTNutJv7v4WcL	George Harrison	Gabriel Josse	All Things Must Pass	1970
3C4CCMktc1Ta1Eho6G1yat	Gill Scott-Heron	Doug Ashdown	Winter in America	1974
127p4CCDi0G1PqWMptSCWy	Grand Master Flash & the Furious Five	Electronic	The Message	1982
5bJIwv7O1B8ANCjAA0AC19	Herbie Hancock	Glowbug	Headhunters	1974
2thaV3YkqjK7f2AL8LC4xF	Holger Czukay	Dire Straits	Movies	1979
5WfCCrHv2V7TkrOi9Ke1OE	Iggy Pop & The Stooges	Various Artists	Fun House	1970
1wqUTW08fW7Idb0QmbK2E1	Jeff Beck Group	Tove Lo	Truth	1968
3U9gbmxUQFZ4XqlDxRIhE5	Joanna Newsom	Gardens of God	Ys	2006
2i9yRd6N1anCiwz84tSfHQ	John Lee Hooker	MercyMe	The Healer	1989
2axpqE4HpSTchcaG8rmMjN	Keith Jarrett	Tomasz Trzcinski	The K_ln Concert	1975
4c0cK1sH5z7HQq8SN4wbdE	King Crimson	Dream Theater	Larks Tongues In Aspic	1973
69Jzv3RB25sxZ7kmE1MeUL	KLF	Jonathan Thulin	The White Room	1990
3E4uXYCH0PZLwV5yzOiOdk	Lambchop	Hans Zimmer	Nixon	2000
0gZfxGTcFe855hzcKCf2oH	LCD Soundsystem	Dame Emma Kirkby	The Sound of Silver	2007
5xxVbzbVOODEVq9qwhhtoe	Led Zeppelin	Los Angeles Guitar Quartet	Led Zeppelin I	1969
7g88LzruCHNbCmGyLjrpJH	Lou Reed	RY X	Berlin	1973
6QDLJorX8HQ2ogxZUCvtd1	LTJ Bukem	Various Artists	Logical Progression	1996
2QVQ9jDMP7FTYMnIhcC4gk	Madonna	[500] Days Of Summer - Music From The Motion Picture	Music	2000
427BvOYZQRjTHODnreiZCo	Manassas	Stephen Stills	Stephen Stills	1973
3VlXikTbyLpXQILsZIGNDj	Marvin Gaye	Paul Thorn	What's Goin' On	1971
3xXsJL1bNBWU1jbQDxLJdf	Michael Viner's Incredible Bongo Band	Incredible Bongo Band	Bongo Rock	1973
3R6aIbq0UGfht1x0rck5Tn	Ms Dynamite	Ms. Dynamite	A Little Deeper	2002
50V8pauVWUDGuZ80Y5Waoy	Neil Young	Colton Parrott	After The Goldrush	1970
05wEDivrJlju67zESWvwDe	Nick Cave & the Bad Seeds	Nick Cave & The Bad Seeds	Henry's Dream	1992
0i1WeorUSL6fQMPiz6z8zq	Nightmares on Wax	The Speed Freak	Smoker's Delight	1995
7dCxsZJ5g4VdGJmnh011Ig	Nusrat Fateh Ali Khan & Party	Various Artists	Devotional Songs	1992
1mTzTLuErrm74fSBcgEFkY	Ozomatli	Sesame Street	Street Signs	2004
4BCOTedCJnyfAlXgEXOq4F	P.J. Harvey	Dry the River	Dry	1992
2Satx8ApIB0VZuFCT4nv92	Paul Revere and the Raiders	Fuzion	Midnight Ride	1966
7MmQ5eIQFianotdHpvut28	Pere Ubu	The Modern Ballroom Dance Band	The Modern Dance	1977
11m5QpqoIrWSyfFDfFEhde	Peter Gabriel	Take That	III	1980
4EcVVeYCeafIQk383MQfp5	Peter Gabriel	Ben Howard	I	1977
4LGnEKDDNjLuz2QQLcntON	Peter Gabriel	Tough Love	So	1986
254QirZtTitjM1j3OfCstk	Phil Spector	Johnny Reid	A Christmas Gift To You	1963
0MYABBSxz6JqujXq2JBvsF	Psychedelic Furs	Rihanna	Talk Talk Talk	1981
3QZ8ovosQKJnl7ajHqqIva	Radiohead	The Bennies	In Rainbows	2007
3T1fgMprST5C4hhl19Xv40	Ray Price	Jamie Foxx	Night Life	1963
5dN7F9DV0Qg1XRdIgW8rke	REM	Green Day	Green	1989
1SzhKMm1H8vsm5741LGhv5	Royksopp	R_yksopp	Melody A.M.	2001
1CCxeQJh8fWHk8x8Z10CGx	Ruben Blades & Willie Col_n	Siembra	Siembra	1978
4rezpGly476QPhbmG2SITq	Sao Paulo Tales	Suba	Suba	1999
4D0lc9yhyvobjPQJCB1EY3	Sarah Vaughan	Ella Fitzgerald	Live at Mister Kelly's	1958
3CAOILbzAIZlpb1JQt1Hnu	Screaming Trees	Galantis	Dust	1996
1acyPhtQplTHBiBNPI6d4t	Scritti Politti	Lord Gerald Hugh Tyrwhitt-Wilson Berners	Cupid and Psyche	1985
2KaCTff6b1JhQ6hH9VXOek	Sepultura	Delilah	Roots	1996
4306vzbeTtNiVLHYUVm9Dk	Shivkumar Sharma/Brijbushan Kabra/Hariprasad Chaurasia	Pandi Shiv Kumar Sharma,Hariprasad Chaurasia,Brij Bhusan Kabra	The Call of the Valley	1968
3LmuqVn5M4Hs8PHVqWa0Fz	Silver Jews	Spyro Gyro	Bright Flight	2001
4Q7MewJ0yF53mYbYc2hDsY	Slade	Reptoids	Slayed?	1972
0ihYToxMgYcuHuxOKjGQKO	Sly and and The Family Stone	Sly & The Family Stone	There's a Riot Goin' On	1971
0qmHaZaoz0cadLnHb92010	Snoop Doggy Dogg	Doggy Style	Doggy Style	1993
2gToC0XAblE9h3UZD6aAaQ	Soft Machine	Third Eye Blind	Third	1970
2AgTKAULjbHpqqtyI53hdp	Solomon Burke	Pete Rock & C.L. Smooth	Rock & Soul	1964
	Spacemen 3		Playing with Fire	1989
5p7LZlOPMvScCXw5M77xyV	Stan Getz/Joao Gilberto	Stan Getz,Jo_o Gilberto	Getz/Gilberto	1964
2fGCAYUMssLKiUAoNdxGLx	Talvin Singh	Radiohead	OK	1998
6VNuZLF98tsRYgqlIXAVCD	The Adverts	Tori Amos	tori amos	1978
6XIpXPC8eGUGsBc7XFJ539	The Afghan Whigs	Ne-Yo	Gentleman	1993
4Y5yN7tJSqBNwlAQ7n976y	The Associates	SULK	Sulk	1982
1xF1nKu3UL84l7CofB4QBV	The Beach Boys	Bryan Adams	Today!	1965
1BdQWouNev422Pnyrse62b	The Beatles	Kylie Minogue	Abbey Road	1969
2yc1PPfJQ9waDBs8RW7mJ4	The Beatles	New York Dolls	A Hard Day's Night	1964
3wwVeu5LWboJpDTysWxuLy	The Beatles	Will Taylor & Strings Attached	The Beatles (White Album)	1968
49FwsZq64UotAHB0CXGR1N	The Beatles	T-Pain	Revolver	1966
6UwY58EMdtAdf0eBO0Comj	The Beatles	Football Pepper	Sgt Pepper's Lonely Hearts Club Band	1967
0ZgjCwfkWtS9sklI3uX69m	The Bee Gees	Odessa	Odessa	1969
5z090LQztiqh13wYspQvKQ	The Cult	Jimi Hendrix	Electric	1987
3obQJSWpREwvi19TTAvM5v	The Doves	James Blunt	Lost Souls	2000
1PH8cYFqIbH2F1MYxLS9iP	The Flying Burrito Brothers	The Gilded Palace Of Sin	The Gilded Palace of Sin	1969
0dAvbhVYW3bGnLldQ8Nvwn	The Grateful Dead	Fall Out Boy	American Beauty	1970
1rv1c650hj19F5kvvqhyt8	The Grateful Dead	The Staves	Live/Dead	1970
7JOCOjZTcLysDMkZGWlcIj	The Isley Bros	The Script	3+3	1973
3u1f0ziKFCkqcHUQ0AldCU	The Mothers of Invention	Frank Zappa,The Mothers	We're Only in it for the Money	1967
3md6pM7GoNvwOlwlHTzvvs	The New Tango (with Gary Burton)	Astor Piazzolla	Astor Piazzolla	1987
6OlIbU9i7OaBrBqx7ZYAFS	The Sensational Alex Harvey Band	Next	Next	1973
6sYVlvyWjlwvVHKpvXxqdG	The The	Sum 41	Infected	1986
1kRLTjRRHzD1bXik3xr8Y7	The Tom Tom Club	Tom Dole	The Tom Tom Club	1981
4SXVG1SPGjA5ofm3CQsPnc	Throbbing Gristle	D.O.A.	DOA	1978
6TLTd0P2CUI0Q29AQ1LyFi	Tom Petty & the Heartbreakers	Tom Petty And The Heartbreakers	Tom Petty & the Heartbreakers	1977
5ASoLiKB7ffqusD9X9wQlS	Tupac Shakur	2Pac	Me Against the World	1994
14xxjLlbGy8ACm4MorBjD5	U2	The War On Drugs	War	1983
0Ch4YJ4XU5PTSqTdUvFra6	Van Morrison	Midnight Scraper	It's Too Late To Stop Now	1974
2ulswu5BgwO54CYfi8vxLq	War	James Moody	The World Is A Ghetto	1972
2V6NgriUw7DSFLceZjp0xM	Whatever	Aimee Mann	Aimee Mann	1993
0c78nsgqX6VfniSNWIxwoD	The Rolling Stones	The Rolling Stones	1964
0xzaemKucrJpYhyl7TltAk	John Lennon/Plastic Ono Band	John Lennon	1970
7AFsTiojVaB2I58oZ1tMRg	Run-DMC	RUN-DMC	1984
7DBES3oV6jjAmWob7kJg6P	Black Sabbath	Black Sabbath	1970
